Numero|Fecha
30|1952-10-01
31|1952-10-15
32|1952-11-01
33|1952-11-15
34|1952-12-01
35|1952-12-15
36|1953-01-01
37|1953-01-15
38|1953-02-01
39|1953-02-15
40|1953-03-01
41|1953-05-01
42|1953-05-15
43|1953-06-01
44|1953-06-15
45|1953-07-15
46|1953-07-26
47|1953-08-05
48|1953-08-15
49|1953-09-01
50|1953-09-15
51|1953-10-01
52|1953-10-15
53|1953-11-01
54|1953-11-15
55|1953-12-01
56|1953-12-15
57|1954-01-01
58|1954-01-15
59|1954-02-15
60|1954-03-01
61|1954-03-15
62|1954-04-01
63|1954-04-15
64|1954-05-01
65|1954-05-15
66|1954-06-01
67|1954-06-14
68|1954-07-01
69|1954-07-15
70|1954-08-15
71|1954-09-01
72|1954-09-15
73|1954-10-01
74|1954-10-15
75|1954-11-01
76|1954-11-15
77|1954-12-01
78|1954-12-15
79|1955-01-15
80|1955-02-01
81|1955-02-15
82|1955-03-15
83|1954-04-01
84|1955-04-15
85|1955-05-01
86|1955-05-15
87|1955-06-01
88|1955-06-15
89|1955-07-01
90-91|1955-08-01
01|1951-07-15
02|1951-08-01
03|1951-08-15
04|1951-09-01
05|1951-09-15
06|1951-10-01
07|1951-10-15
08|1951-11-01
09|1951-11-15
10|1951-12-01
11|1951-12-15
12|1952-01-01
13|1952-01-15
14|1952-02-01
15|1952-02-15
16|1952-03-01
17|1952-03-15
18|1952-04-01
19|1952-04-15
20|1952-05-01
21|1952-05-15
22|1952-06-01
23|1952-06-15
24|1952-07-01
25|1952-07-15
26|1952-08-01
27|1952-08-15
28|1952-09-01
29|1952-09-15
90|1955-08-01
91|1955-08-01
92-93|1955-09-01 
92|1955-09-01 
93|1955-09-01 
